id,project_id,keyword
1,1,"interlanguage pragmatics, EFL learners, scoping review"
2,2,Higher Education
3,2,Parliamentary Debates
4,2,Party Families
5,2,Party Manifestos
6,2,Poland
7,2,Policy Frames
8,2,Sejm
9,2,Social Policy
10,2,Universities
11,2,Other
12,2,Polish
13,2,Comparative Politics
14,6,Ciencias sociales
15,6,Health Communication
16,6,Strategic Communication
17,6,Cancer
18,6,Melanoma
19,6,Skin cancer
20,6,Comunicación para la salud
21,6,Comunicación estratégica
22,6,Cáncer de piel
23,7,Earth and Environmental Sciences
24,7,Engineering
25,7,Other
26,7,methane emissions
27,7,oil and gas
28,7,scoping review
29,7,measurement
30,7,characterization
31,7,reductions
