id,project_id,license_str
1,1,cc-by-4.0
2,2,odc-by
3,3,cc-by-4.0
4,4,cc-by-4.0
5,5,cc-by-4.0
6,20,cc-by-4.0
7,21,cc-by-4.0
8,22,cc-by-4.0
9,23,cc-by-4.0
10,24,cc-zero
11,25,cc-by-4.0
12,26,cc-by-4.0
13,27,cc-by-4.0
14,28,cc-by-4.0
15,29,cc-by-4.0
16,30,cc-by-4.0
17,31,cc-by-4.0
18,32,cc-by-4.0
19,33,cc-by-4.0
20,34,cc-by-4.0
21,35,cc-by-4.0
22,36,cc-by-4.0
23,37,cc-by-4.0
24,38,cc-by-4.0
25,39,cc-by-4.0
26,40,cc-zero
27,41,cc-by-4.0
28,42,cc-by-4.0
29,43,cc-by-4.0
30,44,cc-by-sa-4.0
31,7028,cc-by-4.0
32,7030,odc-by
33,2069,cc-by-4.0
34,7032,odc-by
35,2092,cc-by-4.0
36,7035,odc-by
37,7037,cc-by-4.0
38,7041,odc-by
39,7046,cc-by-4.0
40,7050,cc-by-4.0
41,7078,cc-by-4.0
