id,project_id,name,role
1,1,"Huaqiang, Li",AUTHOR
2,2,"zum Felde, Mareike",AUTHOR
3,3,"Mishra, Pradeep Kumar",AUTHOR
4,4,"Navarro Gambín, Pedro",AUTHOR
5,4,"Bonetti, Marta",AUTHOR
6,5,"Navarro Gambín, Pedro",AUTHOR
7,5,"Bonetti, Marta",AUTHOR
8,5,"VILLA, MATTEO",AUTHOR
9,6,"Strategic Health Communication, GEAC",AUTHOR
10,7,"Vollrath, Coleman",AUTHOR
11,20,"Heysel, Jan",AUTHOR
12,21,Jiaxin Yu,AUTHOR
13,21,Liming Fu,AUTHOR
14,21,Peng Liang,AUTHOR
15,21,Amjed Tahir,AUTHOR
16,21,Mojtaba Shahin,AUTHOR
17,22,Jiaxin Yu,AUTHOR
18,22,Peng Liang,AUTHOR
19,22,Yujia Fu,AUTHOR
20,22,Amjed Tahir,AUTHOR
21,22,Mojtaba Shahin,AUTHOR
22,22,Chong Wang,AUTHOR
23,22,Yangxiao Cai,AUTHOR
24,23,Christian R. Kahlert,AUTHOR
25,23,Michela Cipriani,AUTHOR
26,23,Pietro Vernazza,AUTHOR
27,24,"Mitchell-Jones, Nicola",AUTHOR
28,24,"Farren, Jessica A.",AUTHOR
29,24,"Tobias, Aurelio",AUTHOR
30,24,"Bourne, Tom",AUTHOR
31,24,"Bottomley, Cecilia",AUTHOR
32,25,"Zhang, Wanying",AUTHOR
33,25,"Zhu, Renbin",AUTHOR
34,25,"Jiao, Yi",AUTHOR
35,25,"Rhew, Robert",AUTHOR
36,25,"Sun, Bowen",AUTHOR
37,25,"Rinnan, Riikka",AUTHOR
38,25,"Zhou, Zeming",AUTHOR
39,26,"Cabral Junior, Cyro Rego",AUTHOR
40,26,"de Albuquerque, Maria Cicera do Santos",AUTHOR
41,26,"Victal, Vilma Janaína Rios Cabral",AUTHOR
42,26,"de Albuquerque, Gustavo Santos",AUTHOR
43,26,"Ferreira, Bruna Guilhermino de Oliveira",AUTHOR
44,27,"Balvan, Jan",AUTHOR
45,27,"Navratil, Jiri",AUTHOR
46,28,Rossouw Theresa M,AUTHOR
47,28,Joseph B. Sempa,AUTHOR
48,28,Nieuwoudt Martin,AUTHOR
49,29,"Burger, David",AUTHOR
50,30,Matthias Neumann,AUTHOR
51,30,Tom Philipp,AUTHOR
52,30,Marcel Häringer,AUTHOR
53,30,Gregor Neusser,AUTHOR
54,30,Joachim R. Binder,AUTHOR
55,30,Christine Kranz,AUTHOR
56,31,"Jasper, Friedrich",AUTHOR
57,31,"Baumann, Manuel",AUTHOR
58,31,"Ersoy, Hüseyin",AUTHOR
59,31,"Smith, Anna",AUTHOR
60,31,"Büchele, Sebastian",AUTHOR
61,31,"Bohn, Nicole",AUTHOR
62,31,"Binder, Joachim",AUTHOR
63,31,"Neuhaus, Dirk Holger",AUTHOR
64,31,"Weil, Marcel",AUTHOR
65,32,Ijaz Ul Mohsin,AUTHOR
66,33,"Arboleda Chavez, Carlos Emilio",AUTHOR
67,33,"Troch, Peter",AUTHOR
68,34,"Chigama, Marlon",AUTHOR
69,35,"Barés, Jonathan",AUTHOR
70,35,"Regazzi, Arnaud",AUTHOR
71,35,"Aponte, David",AUTHOR
72,35,"Buonomo, Sylvain",AUTHOR
73,35,"Renouf, Mathieu",AUTHOR
74,35,"Estrada, Nicolas",AUTHOR
75,35,"Azéma, Emilien",AUTHOR
76,36,Nur Athirah Binti Badlihisham and Mohd Fairuz Bin Md Salleh,AUTHOR
77,37,"Frattini, Julian",AUTHOR
78,37,"Fucci, Davide",AUTHOR
79,37,"Mendez, Daniel",AUTHOR
80,37,"Spinola, Rodrigo",AUTHOR
81,37,"Mandic, Vladimir",AUTHOR
82,37,"Tausan, Nebojsa",AUTHOR
83,37,"Ahmad, Muhammad Ovais",AUTHOR
84,37,"Gonzalez-Huerta, Javier",AUTHOR
85,38,"Anonymous, Anonymous",AUTHOR
86,39,"qureshi, majad",AUTHOR
87,40,"Jackson, Victoria",AUTHOR
88,40,"Prikladnicki, Rafael",AUTHOR
89,40,"van der Hoek, Andre",AUTHOR
90,41,"Montgomery, Lloyd",AUTHOR
91,41,"Lüders, Clara Marie",AUTHOR
92,41,"Rahe, Christian",AUTHOR
93,41,"Maalej, Walid",AUTHOR
